frequency_start[GHz],frequency_end[GHz],r_step210_LFA_start,r_step210_LFA_end,r_step216_LFA_start,r_step216_LFA_end,r_step222_LFA_start,r_step222_LFA_end,r_step228_LFA_start,r_step228_LFA_end,r_step235_LFA_start,r_step235_LFA_end,r_step241_LFA_start,r_step241_LFA_end,r_step248_LFA_start,r_step248_LFA_end,r_step256_LFA_start,r_step256_LFA_end,r_step263_LFA_start,r_step263_LFA_end,r_step270_LFA_start,r_step270_LFA_end,r_step278_LFA_start,r_step278_LFA_end,r_step286_LFA_start,r_step286_LFA_end,r_step294_LFA_start,r_step294_LFA_end,r_step303_LFA_start,r_step303_LFA_end,r_step312_LFA_start,r_step312_LFA_end,r_step210_HFA_start,r_step210_HFA_end,r_step216_HFA_start,r_step216_HFA_end,r_step222_HFA_start,r_step222_HFA_end,r_step228_HFA_start,r_step228_HFA_end,r_step235_HFA_start,r_step235_HFA_end,r_step241_HFA_start,r_step241_HFA_end,r_step248_HFA_start,r_step248_HFA_end,r_step256_HFA_start,r_step256_HFA_end,r_step263_HFA_start,r_step263_HFA_end,r_step270_HFA_start,r_step270_HFA_end,r_step278_HFA_start,r_step278_HFA_end,r_step286_HFA_start,r_step286_HFA_end,r_step294_HFA_start,r_step294_HFA_end,r_step303_HFA_start,r_step303_HFA_end,r_step312_HFA_start,r_step312_HFA_end
258.9501945058055,261.5396964508635,nan,nan,nan,nan,nan,nan,0.0110707641861265,0.013,0.0097158839357444,0.0101847956543062,0.0083945624198239,0.0089421638281377,0.0065414732606536,0.0072436530791837,0.0033865753862415,0.0046214057087277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
261.5396964508635,264.15509341537216,nan,nan,nan,nan,nan,nan,nan,nan,0.0101847956543062,0.0106300650596399,0.0089421638281377,0.0094547228060763,0.0072436530791837,0.0078794192669476,0.0046214057087277,0.0055839178276308,0.0,0.0020968521028491,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
264.15509341537216,266.7966443495259,nan,nan,nan,nan,nan,nan,nan,nan,0.0106300650596399,0.0110545616846332,0.0094547228060763,0.0099376766084365,0.0078794192669476,0.0084637671673802,0.0055839178276308,0.006398234247608,0.0020968521028491,0.0037857898330274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266.7966443495259,269.4646107930212,nan,nan,nan,nan,nan,nan,nan,nan,0.0110545616846332,0.013,0.0099376766084365,0.0103951653936418,0.0084637671673802,0.009006725193319,0.006398234247608,0.0071154372226378,0.0037857898330274,0.0049195204676222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
269.4646107930212,272.1592569009514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0103951653936418,0.0108304291707453,0.009006725193319,0.0095153953934293,0.0071154372226378,0.0077625087271559,0.0049195204676222,0.0058314222145259,0.0,0.0028252605921102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
272.1592569009514,274.88084946996094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0108304291707453,0.013,0.0095153953934293,0.0099950276146188,0.0077625087271559,0.0083557736958332,0.0058314222145259,0.0066139157085579,0.0028252605921102,0.004230099113159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
274.88084946996094,277.62965796466057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0099950276146188,0.0104496340549279,0.0083557736958332,0.0089060065368793,0.0066139157085579,0.0073087027781307,0.004230099113159,0.0052668335967368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
277.62965796466057,280.4059545443072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0104496340549279,0.0108823639564333,0.0089060065368793,0.009420764625636,0.0073087027781307,0.0079388612800888,0.0052668335967368,0.006125337210806,0.0,0.0029382684310239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
280.4059545443072,283.21001408975025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0108823639564333,0.013,0.009420764625636,0.0099055936231082,0.0079388612800888,0.0085187613845246,0.006125337210806,0.0068727479433909,0.0029382684310239,0.0043058960738937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
283.21001408975025,286.04211423064777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0099055936231082,0.0103647074057658,0.0085187613845246,0.0090580757562967,0.0068727479433909,0.0075421832532398,0.0043058960738937,0.0053274979625229,0.0,0.0003846228938724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
